Chapter,Page,Content
МФК,Что такое МФК?,"МФК — это межфакультетские курсы, обязательные для всех студентов МГУ. Они направлены на расширение знаний студента в сферах, не связанных со специализацией. Проходить МФК можно на любом факультете, но в зачет не идут МФК, проводимые на факультете, где учится студент."
МФК,Для чего введены МФК?,"Одна из главных особенностей университетского образования — его универсальность и полидисциплинарность. Выпускник университета не может ограничиваться узкой специализацией. Межфакультетские учебные курсы предназначены для того, чтобы дать студентам МГУ возможность получить разностороннее образование. Кроме того, МФК дает возможность для установления новых контактов среди людей с разных факультетов."
МФК,"У меня не было учебных курсов, связанных с темой заинтересовавшего МФК. Я смогу что-нибудь понять?","Да, межфакультетские учебные курсы готовятся таким образом, чтобы для их понимания было достаточно знания школьной программы."
МФК,Для кого МФК обязательны?,"Для студентов, обучающихся по специальности «Фундаментальная и прикладная физика» МФК являются обязательными по учебному плану в 7–10 семестрах, по специальности «Астрономия» в 5–8 семестрах. При этом, как минимум один прослушанный курс должен быть по тематике искусственного интеллекта."
МФК,"Можно ли посещать МФК, если он для меня не обязателен?","Студент МГУ имеет право посещать любые лекционные курсы в Московском университете. Это правило в полной мере распространяются и на межфакультетские учебные курсы. Любой студент Московского университета может ходить на любые МФК и сдавать по ним зачет, если пожелает."
МФК,"Можно ли прослушать МФК раньше, чем это предписано по учебному плану?","Да, межфакультетские курсы можно прослушать заранее. В этом случае, по желанию студента, они могут быть засчитаны либо как обязательные МФК в соответствующем семестре, либо как дополнительный факультативный курс. Во избежание путаницы студенту необходимо своевременно сообщить в учебную часть своего факультета о своем желании засчитать ранее прослушанный МФК в качестве обязательного."
МФК,"Я передумал и хочу выбрать другой курс, что мне делать?","Если вы хотите изменить свой выбор, вы можете в течение всего семестра отписаться от одного МФК и записаться на другой. В течение двух первых недель чтения МФК свой выбор курса можно изменить на сайте, далее — только через учебную часть вашего факультета. Пожалуйста, не откладывайте регистрацию на МФК, иначе вашей фамилии может не оказаться в зачетной ведомости того курса, который вы фактически посещали."
МФК,У меня не получается записаться на МФК на сайте.,"Возможно, Вы только что зачислены на первый курс или переведены на новое место учебы, и информации о вас еще нет в базе данных студентов, или информация о вас в базе данных студентов содержит какие-либо неточности. Попробуйте записаться с указанием другого курса обучения в форме записи (на один курс больше или меньше). Если это не поможет, то обратитесь в вашу учебную часть для выяснения причин. Если проблема не будет решена — задайте вопрос через форму на этом сайте."
МФК,Когда проходят МФК?,"Для чтения межфакультетских учебных курсов отведено специальное время, общее для всех факультетов: две пары в среду, с 15:10 до 16:40 и с 17:00 до 18:30. В это время в расписании факультетов не должно быть назначено никаких других обязательных занятий. Точное время и место проведения каждого МФК указаны на сайте."
МФК,Можно ли ходить на несколько курсов одновременно?,"Да, записаться можно на 2 курса, проходящих в разное время."
МФК,В какие сроки читаются МФК?,Чтение МФК начинается со второй недели семестра и занимает от 24 до 30 часов академической нагрузки.
МФК,"Если не сдать МФК в семестр, когда он не обязателен, лишишься ли стипендии?","Нет, так как МФК не является обязательным курсом в данном семестре. При этом, не сдача МФК в семестре, когда он обязателен, является академической задолженностью."
МФК,Как записаться на МФК?,Запись на МФК осуществляется через портал lk.msu.ru.
Пересдачи,Когда может проводиться пересдача?,Пересдача может проводиться после каникул или на каникулах с предоставлением альтернативной даты. На нашем факультете все пересдачи проводятся уже после каникул.
Пересдачи,Как подготовиться к пересдаче?,"Чтобы подготовиться к пересдачам, можно прослушать лекционные и семинарские курсы на портале teach-in.ru"
Пересдачи,"Что делать, если пропустил экзамен или пересдачу?","Если пропуск попытки зачёта/экзамена произошел по неуважительной причине, попытка сдачи сгорает. Если попытка пропущена по уважительной причине, необходимо предоставить в учебную часть подтверждающие документы в течение трёх дней с момента получения. В таком случае будет назначена дополнительная попытка сдачи. Также рекомендуем предупредить начальника курса, если вы заранее понимаете, что пропустите экзамен по уважительной причине."
Пересдачи,Отличается ли формат проведения пересдачи от основного экзамена?,"Нет, не отличается."
Пересдачи,"Можно ли оспорить оценку, полученную на экзамене?",Процедура апелляции по результатам сессии не предусмотрена
Пересдачи,"Что делать, если экзаменатор относится предвзято и намеренно занижает оценку?",На повторной промежуточной аттестации экзамен/зачёт принимает комиссия. Также в случае конфликтных ситуаций вы можете обратиться к начальнику курса.
Пересдачи,"Сколько попыток предоставляется для сдачи экзамена? Можно ли получить дополнительные попытки, если не хватит основных?","Для сдачи экзамена или зачёта предоставляется 3 попытки — экзамен/зачёт, пересдача и комиссия. В случае неудачи на всех трёх  попытках можно написать в учебной части заявление с просьбой о предоставлении дополнительной попытки. Заявление будет рассмотрено на комиссии по студенческим делам. При положительном решении комиссии может быть предоставлена ещё одна попытка."
Академический отпуск,По каким причинам можно взять академический отпуск?,"Академический отпуск предоставляется по медицинским, семейным и иным (например, срочная служба) обстоятельствам. Для получения академического отпуска необходимо предоставить заявление в письменной форме и подтверждающие документы.  Подробнее об академическом отпуске читайте в посте: https://vk.com/wall-24234717_21720"
Академический отпуск,Сколько раз можно уходить в академический отпуск за период обучения?,"Академический отпуск предоставляется на срок не более чем 2 года неограниченное количество раз. Однако, отсрочка от армии сохраняется при изменении срока обучения не более, чем на год.  С 1 сентября 2025 г. максимальная продолжительность академического отпуска составит 2 года при академическом отпуске  по медицинским показаниям или в связи с прохождением военной службы и 1 год при других обстоятельствах."
Академический отпуск,Можно ли  выйти досрочно из академического отпуска?,"Да, для досрочного выхода из академического отпуска Вам необходимо прийти в учебный отдел и написать заявление о выходе из академического отпуска. Если академический отпуск был предоставлен по медицинским показаниям, то нужно будет к заявлению приложить заключение врачебной комиссии медицинской организации."
Академический отпуск,Что нужно сделать для оформления академического отпуска?,"Необходимо предоставить в учебную часть заявление в письменной форме и подтверждающие документы (например, заключение врачебной комиссии)."
Академический отпуск,Какие выплаты можно получать в академическом отпуске?,Выплаты в академическом отпуске: 1) ГСС (государственная социальная стипендия);2) Остается возможность получить разовую материальную помощь.Для контрактников: плата за обучение во время академического отпуска не взимается (а также возвращаются средства за остаток обучения).
Учебная часть,Что такое КСД?,"КСД — комиссия по студенческим делам. Заседания комиссии проходят каждую среду в 15:00. Задача комиссии — рассматривать обращения студентов, а также выносить решения по различным делам, касающимся обучения студентов на факультете и проживания в общежитии. Например: перевод между группами, уход и возвращение из академического отпуска, проблемы с пересдачами, пропуски занятий, нарушение Правил внутреннего распорядка, отчисление и иные вопросы."
Учебная часть,Кто входит в состав КСД?,"Комиссия по студенческим делам создаётся приказом декана факультета Владимиром Викторовичем Белокуровым и состоит из заместителя декана по учебно-методической работе работе Александра Сергеевича Воронцова, заместителя декана по учебной работе Балахниной Ирины Александровны, заместителя декана по социальным вопросам и внеучебной работе со студентами факультета Сергея Михайловича Варзаря, начальника учебного отдела Полины Александровны Мухортовой, начальников всех курсов, заведующего магистратурой, а также представителей иностранного отдела и студенческих организаций."
Учебная часть,"Что делать, если вызвали на КСД?","Для начала вам следует понять, что никто на комиссии не хочет вашего отчисления, напротив, вам всегда хотят помочь. Поэтому ваша главная задача – не доводить до ситуации, когда вам уже нельзя помочь. Для этого есть всего три простых совета:— Если вы заболели и пропустили занятия, зачёт или экзамен, получите в поликлинике подтверждающую справку и принесите её инспектору курса. Лежащая в личном деле справка поможет вам сохранить попытку сдачи, так как причина неявки уважительная. Обратите внимание, что справку необходимо предоставлять в учебную часть своевременно, не позднее трёх дней со дня получения!— Всегда сообщайте в учебную часть, если у вас появились обстоятельства, препятствующие освоению учебной программы. Ваш начальник курса может помочь советом, а если ситуация зайдёт далеко, вам будет проще, например, взять академический отпуск.— Если вы не хотите идти в учебную часть со своей проблемой, вы всегда можете написать максимально честно о ситуации в личные сообщения группы Профкома — мы подскажем, как лучше действовать в такой ситуации."
Учебная часть,Кто такие начальники и инспекторы курса?,"Начальник курса — это человек, который следит за тем, чтобы все студенты осваивали образовательную программу: посещали пары, сдавали зачёты и экзамены. Он связывается со старостами и передаёт им важную информацию. Начальник курса разбирается во всех проблемах студентов и выносит их на КСД для принятия решения.Инспекторы курсов помогают начальникам курсов. Инспекторы помогают с выдачей и приёмом справок у студентов, работают с зачетками и ведомостями, могут ответить на вопросы и помочь вам.Контакты начальников и инспекторов курсов можно найти на сайте Физического факультета: https://phys.msu.ru/informatsiya-uchebnogo-otdela.php"
Дисциплинарные взыскания,Какие бывают меры дисциплинарные взыскания?,Меры взыскания:— Замечание.— Выговор.— Отчисление.
Дисциплинарные взыскания,За что могут быть применены меры дисциплинарного взыскания?,"Меры дисциплинарного взыскания могут быть применены за: 1. Неисполнение или нарушение устава организации; 2. Неисполнение или нарушение правил внутреннего распорядка, проживания в общежитиях; 3. Неисполнение или нарушение других локальных нормативных актов по вопросам организации (например, Этического кодекса МГУ) и нарушения образовательной деятельности"
Дисциплинарные взыскания,Какие могут быть последствия при получении меры дисциплинарного взыскания?,"Применение меры дисциплинарного взыскания фиксируется в личном деле студента. Данная информация обязательно должна отрадаться в характеристиках, выдаваемых факультетом при поступлении на военную кафедру. Также студены, обучающиеся на контракте, не могут претендовать на перевод на бюджет, пока действует полученное дисциплинарное взыскание."
Дисциплинарные взыскания,Через какое время дисциплинарное взыскание перестает действовать?,Дисциплинарное взыскание перестает действовать через один год после его наложения.
Перевод на бюджет,Кто может перевестись на бюджет?,"На бюджет могут перевестись студенты, которые: не имеют академических задолжностей, дисциплинарных взысканий, задолжностей по оплате обучения,  И которые: а) закрыли последнюю сессию на оценки ""хорошо"" и/или ""отлично"" ИЛИ  б) относятся к следующим категориям граждан (за исключением иностранных граждан, если международным договором Российской Федерации не предусмотрено иное):а) детей-сирот и детей, оставшихся без попечения родителей, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей;б) граждан в возрасте до двадцати лет, имеющих только одного родителя-инвалида I группы, если среднедушевой доход семьи ниже величины прожиточного минимума, установленного в соответствующем субъекте Российской Федерации;в) женщин, родивших ребенка в период обучения;г) детей лиц, принимающих или принимавших участие в специальной военной операции на территориях Украины, Донецкой Народной Республики, Луганской Народной Республики, Запорожской области и Херсонской области (далее - специальная военная операция);д) студенты, утратившие в период обучения одного или обоих родителей (законных представителей) или единственного родителя (законного представителя);е) лица, принимающие или принимавшие участие в специальной военной операции."
Перевод на бюджет,Каково главное условие перевода на бюджет?,Наличие вакантных бюджетных мест. Актуальную информацию о наличии мест можно найти на сайте: http://edu.msu.ru/plata/budget.php?id=03
Перевод на бюджет,Какие документы необходимо предоставить для перевода на бюджет?,"Обучающийся должен представить в учебную часть физфака мотивированное заявление на имя декана о переходе с платного обучения на бесплатное.К заявлению необходимо приложить документы, подтверждающие выполнение одного из условий для перевода на бюджет."
Профсоюз,Как вступить в Профсоюз?,"Чтобы вступить в Профсоюз, можно прийти в кабинет Профкома (2-39) в рабочие часы (11:00-16:00) или воспользоваться сервисом в приложении «Твой ФФ» и подать заявление на сайте. Подписанное заявление также необходимо отнести в кабинет Профкома. Члены Профсоюза платят членские взносы в размере 4% от стипендии (для студентов, обучающихся на бюджете) или 240 рублей в год (при обучении на контрактной основе)."
